Category Name,Category Bid No,Doc ID
"M5110906005,M5110906007,M5110906013,M5110906016,M5110906019,M5110906010,M5110906014,M5110906015",—,9752895
Electronic Lectern System,—,9558024
"COALESCER CARTRIDGE (TYPE-M) FACET MAKE,SEPRATOR CARTRIDGE (TYPE-M) FACET MAKE",—,9419758
BOX C-51A (P-1) IS MODIFIED BOX OF C-51A REQUIRED FOR PACKIN G OF SHELL 125MM HE FILLED INERT PRF W,—,9685017
"Audio Digital Signal Processor,Video Conferencing Camera / Web Camera (V2),Audio Digital Signal Pro",—,9531361
CARTRIDGE (FOR FLAME RETARDANT AUTOMATIC INFLATABLE LIFE JACKET),—,9587570
"High End Desktop Computer,Computer Printer (V2),Online UPS (?10 KVA) With Battery Conforming To I",—,9693180
"Refined Groundnut Oil (V4) (Defence),Refined Sunflower Oil (V4) (Defence)",—,9770868
COMPLETE UNIFOIL FUZE HEAD FOR DETONATOR No. 33,—,9667650
"Antivirus Software,Operating System Software (V3),Office Suite Software (V3)",—,9619938
"Digital Vernier Caliper,Digital Micrometer screw gage,Plastic beaker of slit contain,Weighing machi",—,9731042
Fabricated Special Purpose Vehicle on Truck/Van,—,9699581
"FUEL FILTER CLOTH TYPE,FUEL FILTER CUM WATER SEPERATOR,PTO FAN BELT,OIL FILTER,STEERING OIL FILTER,",—,9693520
Mobile Containers For Solid Waste Conforming to IS 12402,—,9713651
"Composite Office Tables conforming to IS 8126 (V2),Revolving Chair (V5),Steel Cloth Lockers (V3)",—,9732354
"Revolving Chair (V5),Chair for General Purpose",—,9711065
GlobalTenderCategory,—,9630425
HEAT SEALED TRACTION BATTERY_ 01,—,9324033
"USB Type External Hard Disk Drive (V3),USB Type External Hard Disk Drive (V3)",—,9712620
Stable Bleaching Powder for Household and Industrial use (V3) conforming to IS 1065 (Part 1),—,9454479
"Air Freshener liquid (V3),Glass Cleaner, Liquid (V3) conforming to IS 8540,Toilet Soap Conforming t",—,9454396
"Toilet Soap, Liquid (V3) Conforming to IS 4199,Cleaning Duster (V3),Cleaning Duster (V3),Air Freshe",—,9445775
Quaternary Ammonium Compound based Surface Cleaner (liquid) (V2) conforming to IS 14364,—,9441840
"10 m m cable,HOLDER,BED SWITCH,INSULETER M C B 63 AMP,PLAS,LAK 16 MM,COMPOUND TAPE,1.5 MM COPPER WI",—,9720337
